release_date,inflation_adjusted_gross
1937-12-21,5228953251
1940-02-09,2188229052
1940-11-13,2187090808
1946-11-12,1078510579
1950-02-15,920608730
1954-12-23,528279994
1955-06-22,1236035515
1959-01-29,21505832
1961-01-25,1362870985
1961-03-16,310094574
1961-12-14,124841160
1962-05-17,109581646
1963-12-25,153870834
1967-10-18,789612346
1968-02-08,138612686
1970-04-24,255161499
1970-07-01,101200742
1971-10-07,91305448
1975-07-01,131246872
1977-01-21,98067733
1977-03-11,0
1977-06-22,159743914
1977-06-24,105847527
1979-12-21,120377374
1980-02-08,9088096
1980-06-25,34472116
1981-01-01,48517980
1981-03-20,0
1981-07-10,133118889
1981-08-07,0
1982-02-05,12903059
1982-07-09,77184895
1982-11-19,20643199
1983-03-11,11519089
1983-04-29,15136765
1983-10-07,70669955
1983-11-04,3223725
1984-03-09,157057661
1984-09-29,21075000
1985-03-22,33900697
1985-06-21,25215934
1985-07-24,50553142
1985-08-09,9736051
1985-09-27,22302956
1985-11-22,31415432
1986-01-31,141183693
1986-04-11,11003932
1986-06-27,162748712
1986-07-02,53637367
1986-07-30,42183197
1986-10-03,48758184
1986-10-17,117957323
1987-01-30,113976921
1987-03-06,54787202
1987-05-22,50686462
1987-06-05,32798382
1987-07-03,72853569
1987-08-05,141592160
1987-08-14,68181300
1987-11-06,44024529
1987-11-25,353334607
1987-12-23,254414837
1988-02-12,60097074
1988-03-18,26062188
1988-04-15,28073384
1988-06-10,82352451
1988-06-22,316250084
1988-07-29,160442289
1988-08-05,12009960
1988-09-30,11300331
1988-11-04,9772655
1988-11-11,57845202
1988-11-18,102254492
1988-12-21,120381757
1989-01-27,85757817
1989-03-01,22740861
1989-04-14,15233465
1989-06-02,202531517
1989-06-23,276191669
1989-07-28,150176361
1989-08-18,16653473
1989-10-06,40983414
1989-10-20,23972012
1989-11-15,223726012
1989-12-13,39884640
1990-02-02,40077147
1990-02-23,2210321
1990-03-23,356389765
1990-04-06,49999822
1990-04-27,29964452
1990-05-24,29485923
1990-06-15,207231621
1990-06-22,39433357
1990-07-18,106290270
1990-08-03,36107823
1990-08-17,39963460
1990-10-12,30722056
1990-11-16,55796728
1990-11-21,143108869
1990-12-25,59679131
1991-01-18,69540672
1991-02-22,19149495
1991-03-01,30084149
1991-04-05,24939118
1991-04-26,47181395
1991-05-03,22580472
1991-05-17,127571325
1991-05-24,14617333
1991-06-21,93256673
1991-07-24,75084021
1991-09-18,37313540
1991-09-27,57544453
1991-10-11,28320147
1991-11-01,31167691
1991-11-13,363017667
1991-12-20,179821881
1992-01-10,178831137
1992-02-07,91304495
1992-03-06,5872667
1992-03-20,4631720
1992-04-03,43068356
1992-04-08,5497481
1992-04-24,8187848
1992-05-22,81369058
1992-05-29,283583472
1992-07-17,119162518
1992-07-17,24950752
1992-08-07,58965304
1992-08-21,7295423
